admin0_code,date,cases,deaths
AF,2020-02-24,1,0
AF,2020-02-25,1,0
AF,2020-02-26,1,0
AF,2020-02-27,1,0
AF,2020-02-28,1,0
AF,2020-02-29,1,0
AF,2020-03-01,1,0
AF,2020-03-02,1,0
AF,2020-03-03,1,0
AF,2020-03-04,1,0
AF,2020-03-05,1,0
AF,2020-03-06,1,0
AF,2020-03-07,1,0
AF,2020-03-08,4,0
AF,2020-03-09,4,0
AF,2020-03-10,5,0
AF,2020-03-11,7,0
AF,2020-03-12,7,0
AF,2020-03-13,7,0
AF,2020-03-14,11,0
AF,2020-03-15,16,0
AF,2020-03-16,21,0
AF,2020-03-17,22,0
AF,2020-03-18,22,0
AF,2020-03-19,22,0
AF,2020-03-20,24,0
AF,2020-03-21,24,0
AF,2020-03-22,40,1
AF,2020-03-23,40,1
AF,2020-03-24,74,1
AF,2020-03-25,84,2
AF,2020-03-26,94,4
AF,2020-03-27,110,4
AF,2020-03-28,110,4
AF,2020-03-29,120,4
AF,2020-03-30,170,4
AF,2020-03-31,174,4
AF,2020-04-01,237,4
AF,2020-04-02,273,6
AF,2020-04-03,281,6
AF,2020-04-04,299,7
AF,2020-04-05,349,7
AF,2020-04-06,367,11
AF,2020-04-07,423,14
AF,2020-04-08,444,14
AF,2020-04-09,484,15
AF,2020-04-10,521,15
AF,2020-04-11,555,18
AF,2020-04-12,607,18
AF,2020-04-13,665,21
AF,2020-04-14,714,23
AF,2020-04-15,784,25
AF,2020-04-16,840,30
AF,2020-04-17,906,30
AF,2020-04-18,933,30
AF,2020-04-19,996,33
AF,2020-04-20,1026,36
AF,2020-04-21,1092,36
AF,2020-04-22,1176,40
AF,2020-04-23,1279,42
AF,2020-04-24,1351,43
AF,2020-04-25,1463,47
AF,2020-04-26,1531,50
AF,2020-04-27,1703,57
AF,2020-04-28,1828,58
AF,2020-04-29,1939,60
AF,2020-04-30,2171,64
AF,2020-05-01,2335,68
AF,2020-05-02,2469,72
AF,2020-05-03,2704,85
AF,2020-05-04,2894,90
AF,2020-05-05,3224,95
AF,2020-05-06,3392,104
AF,2020-05-07,3563,106
AF,2020-05-08,3778,109
AF,2020-05-09,4033,115
AF,2020-05-10,4402,120
AF,2020-05-11,4687,122
AF,2020-05-12,4963,127
AF,2020-05-13,5226,132
AF,2020-05-14,5639,136
AF,2020-05-15,6053,153
AF,2020-05-16,6402,168
AF,2020-05-17,6664,169
AF,2020-05-18,7072,173
AF,2020-05-19,7653,178
AF,2020-05-20,8145,187
AF,2020-05-21,8676,193
AF,2020-05-22,9216,205
AF,2020-05-23,9998,216
AF,2020-05-24,10582,218
AF,2020-05-25,11173,219
AF,2020-05-26,11831,220
AF,2020-05-27,12456,227
AL,2020-03-09,2,0
AL,2020-03-10,10,0
AL,2020-03-11,12,1
AL,2020-03-12,23,1
AL,2020-03-13,33,1
AL,2020-03-14,38,1
AL,2020-03-15,42,1
AL,2020-03-16,51,1
AL,2020-03-17,55,1
AL,2020-03-18,59,2
AL,2020-03-19,64,2
AL,2020-03-20,70,2
AL,2020-03-21,76,2
AL,2020-03-22,89,2
AL,2020-03-23,104,4
AL,2020-03-24,123,5
AL,2020-03-25,146,5
AL,2020-03-26,174,6
AL,2020-03-27,186,8
AL,2020-03-28,197,10
AL,2020-03-29,212,10
AL,2020-03-30,223,11
AL,2020-03-31,243,15
AL,2020-04-01,259,15
AL,2020-04-02,277,16
AL,2020-04-03,304,17
AL,2020-04-04,333,20
AL,2020-04-05,361,20
AL,2020-04-06,377,21
AL,2020-04-07,383,22
AL,2020-04-08,400,22
AL,2020-04-09,409,23
AL,2020-04-10,416,23
AL,2020-04-11,433,23
AL,2020-04-12,446,23
AL,2020-04-13,467,23
AL,2020-04-14,475,24
AL,2020-04-15,494,25
AL,2020-04-16,518,26
AL,2020-04-17,539,26
AL,2020-04-18,548,26
AL,2020-04-19,562,26
AL,2020-04-20,584,26
AL,2020-04-21,609,26
AL,2020-04-22,634,27
AL,2020-04-23,663,27
AL,2020-04-24,678,27
AL,2020-04-25,712,27
AL,2020-04-26,726,28
AL,2020-04-27,736,28
AL,2020-04-28,750,30
AL,2020-04-29,766,30
AL,2020-04-30,773,31
AL,2020-05-01,782,31
AL,2020-05-02,789,31
AL,2020-05-03,795,31
AL,2020-05-04,803,31
AL,2020-05-05,820,31
AL,2020-05-06,832,31
AL,2020-05-07,842,31
AL,2020-05-08,850,31
AL,2020-05-09,856,31
AL,2020-05-10,868,31
AL,2020-05-11,872,31
AL,2020-05-12,876,31
AL,2020-05-13,880,31
AL,2020-05-14,898,31
AL,2020-05-15,916,31
AL,2020-05-16,933,31
AL,2020-05-17,946,31
AL,2020-05-18,948,31
AL,2020-05-19,949,31
AL,2020-05-20,964,31
AL,2020-05-21,969,31
AL,2020-05-22,981,31
AL,2020-05-23,989,31
AL,2020-05-24,998,32
AL,2020-05-25,1004,32
AL,2020-05-26,1029,33
AL,2020-05-27,1050,33
DZ,2020-02-25,1,0
DZ,2020-02-26,1,0
DZ,2020-02-27,1,0
DZ,2020-02-28,1,0
DZ,2020-02-29,1,0
DZ,2020-03-01,1,0
DZ,2020-03-02,3,0
DZ,2020-03-03,5,0
DZ,2020-03-04,12,0
DZ,2020-03-05,12,0
DZ,2020-03-06,17,0
DZ,2020-03-07,17,0
DZ,2020-03-08,19,0
DZ,2020-03-09,20,0
DZ,2020-03-10,20,0
DZ,2020-03-11,20,0
DZ,2020-03-12,24,1
DZ,2020-03-13,26,2
DZ,2020-03-14,37,3
DZ,2020-03-15,48,4
DZ,2020-03-16,54,4
DZ,2020-03-17,60,4
DZ,2020-03-18,74,7
DZ,2020-03-19,87,9
DZ,2020-03-20,90,11
DZ,2020-03-21,139,15
DZ,2020-03-22,201,17
DZ,2020-03-23,230,17
DZ,2020-03-24,264,19
DZ,2020-03-25,302,21
DZ,2020-03-26,367,25
DZ,2020-03-27,409,26
DZ,2020-03-28,454,29
DZ,2020-03-29,511,31
DZ,2020-03-30,584,35
DZ,2020-03-31,716,44
DZ,2020-04-01,847,58
DZ,2020-04-02,986,86
DZ,2020-04-03,1171,105
DZ,2020-04-04,1251,130
DZ,2020-04-05,1320,152
DZ,2020-04-06,1423,173
DZ,2020-04-07,1468,193
DZ,2020-04-08,1572,205
DZ,2020-04-09,1666,235
DZ,2020-04-10,1761,256
DZ,2020-04-11,1825,275
DZ,2020-04-12,1914,293
DZ,2020-04-13,1983,313
DZ,2020-04-14,2070,326
DZ,2020-04-15,2160,336
DZ,2020-04-16,2268,348
DZ,2020-04-17,2418,364
