admin0_code,admin1_code,date,cases,deaths
US,01,2020-03-11,3,0
US,01,2020-03-12,4,0
US,01,2020-03-13,8,0
US,01,2020-03-14,15,0
US,01,2020-03-15,28,0
US,01,2020-03-16,36,0
US,01,2020-03-17,51,0
US,01,2020-03-18,61,0
US,01,2020-03-19,88,0
US,01,2020-03-20,115,0
US,01,2020-03-21,149,0
US,01,2020-03-22,180,0
US,01,2020-03-23,224,0
US,01,2020-03-24,298,0
US,01,2020-03-25,472,1
US,01,2020-03-26,574,1
US,01,2020-03-27,684,4
US,01,2020-03-28,801,4
US,01,2020-03-29,880,10
US,01,2020-03-30,1001,10
US,01,2020-03-31,1063,15
US,01,2020-04-01,1175,27
US,01,2020-04-02,1371,27
US,01,2020-04-03,1606,38
US,01,2020-04-04,1727,44
US,01,2020-04-05,1905,45
US,01,2020-04-06,2079,49
US,01,2020-04-07,2308,64
US,01,2020-04-08,2614,66
US,01,2020-04-09,2954,70
US,01,2020-04-10,3112,80
US,01,2020-04-11,3346,92
US,01,2020-04-12,3667,93
US,01,2020-04-13,3870,99
US,01,2020-04-14,4041,114
US,01,2020-04-15,4307,118
US,01,2020-04-16,4465,133
US,01,2020-04-17,4557,148
US,01,2020-04-18,4788,153
US,01,2020-04-19,4978,157
US,01,2020-04-20,5163,163
US,01,2020-04-21,5404,183
US,01,2020-04-22,5692,196
US,01,2020-04-23,5899,202
US,01,2020-04-24,6092,209
US,01,2020-04-25,6274,209
US,01,2020-04-26,6475,219
US,01,2020-04-27,6621,228
US,01,2020-04-28,6820,242
US,01,2020-04-29,6979,256
US,01,2020-04-30,7187,272
US,01,2020-05-01,7440,289
US,01,2020-05-02,7700,288
US,01,2020-05-03,7977,290
US,01,2020-05-04,8203,298
US,01,2020-05-05,8520,315
US,01,2020-05-06,8769,343
US,01,2020-05-07,9115,369
US,01,2020-05-08,9437,383
US,01,2020-05-09,9720,390
US,01,2020-05-10,9982,393
US,01,2020-05-11,10262,403
US,01,2020-05-12,10566,435
US,01,2020-05-13,10822,450
US,01,2020-05-14,11161,473
US,01,2020-05-15,11494,483
US,01,2020-05-16,11828,485
US,01,2020-05-17,12137,488
US,01,2020-05-18,12438,489
US,01,2020-05-19,12825,504
US,01,2020-05-20,13186,522
US,01,2020-05-21,13590,529
US,01,2020-05-22,13954,541
US,01,2020-05-23,14328,549
US,01,2020-05-24,14676,551
US,01,2020-05-25,15309,566
US,01,2020-05-26,15899,580
US,01,2020-05-27,16263,583
US,01,2020-05-28,16749,591
US,01,2020-05-29,17262,610
US,01,2020-05-30,17689,618
US,01,2020-05-31,18200,630
US,01,2020-06-01,18525,644
US,01,2020-06-02,18734,651
US,01,2020-06-03,18954,651
US,01,2020-06-04,19262,651
US,01,2020-06-05,19910,672
US,01,2020-06-06,20355,685
US,01,2020-06-07,20777,688
US,01,2020-06-08,21268,714
US,01,2020-06-09,21834,725
US,01,2020-06-10,22659,739
US,01,2020-06-11,23370,750
US,01,2020-06-12,24405,764
US,01,2020-06-13,25364,768
US,01,2020-06-14,26182,768
US,01,2020-06-15,26485,769
US,01,2020-06-16,27034,779
US,01,2020-06-17,27941,784
US,01,2020-06-18,28676,801
