continent_code,date,cases,deaths
AF,2020-01-24,4,0
AF,2020-01-25,6,0
AF,2020-01-26,6,0
AF,2020-01-27,6,0
AF,2020-01-28,8,0
AF,2020-01-29,10,0
AF,2020-01-30,10,0
AF,2020-01-31,10,0
AF,2020-02-01,12,0
AF,2020-02-02,12,0
AF,2020-02-03,12,0
AF,2020-02-04,12,0
AF,2020-02-05,12,0
AF,2020-02-06,12,0
AF,2020-02-07,12,0
AF,2020-02-08,22,0
AF,2020-02-09,22,0
AF,2020-02-10,22,0
AF,2020-02-11,22,0
AF,2020-02-12,22,0
AF,2020-02-13,22,0
AF,2020-02-14,23,0
AF,2020-02-15,25,2
AF,2020-02-16,25,2
AF,2020-02-17,25,2
AF,2020-02-18,25,2
AF,2020-02-19,25,2
AF,2020-02-20,25,2
AF,2020-02-21,25,2
AF,2020-02-22,25,2
AF,2020-02-23,25,2
AF,2020-02-24,25,2
AF,2020-02-25,30,2
AF,2020-02-26,38,4
AF,2020-02-27,78,4
AF,2020-02-28,117,4
AF,2020-02-29,203,4
AF,2020-03-01,264,4
AF,2020-03-02,390,6
AF,2020-03-03,419,8
AF,2020-03-04,597,8
AF,2020-03-05,784,12
AF,2020-03-06,1355,18
AF,2020-03-07,1961,22
AF,2020-03-08,2355,39
AF,2020-03-09,2529,39
AF,2020-03-10,3692,68
AF,2020-03-11,4704,98
AF,2020-03-12,4720,99
AF,2020-03-13,7539,164
AF,2020-03-14,9246,189
AF,2020-03-15,9377,190
AF,2020-03-16,13766,306
AF,2020-03-17,15914,309
AF,2020-03-18,18849,315
AF,2020-03-19,22721,508
AF,2020-03-20,26485,928
AF,2020-03-21,30098,1162
AF,2020-03-22,33923,1400
AF,2020-03-23,42064,1781
AF,2020-03-24,47494,2268
AF,2020-03-25,53973,2739
AF,2020-03-26,62428,3487
AF,2020-03-27,70689,4109
AF,2020-03-28,80435,4768
AF,2020-03-29,86202,5374
AF,2020-03-30,95536,6233
AF,2020-03-31,111435,7264
AF,2020-04-01,121878,9062
AF,2020-04-02,126890,11083
AF,2020-04-03,138317,13371
AF,2020-04-04,147592,15531
AF,2020-04-05,152126,16630
AF,2020-04-06,160689,18339
AF,2020-04-07,168962,21219
AF,2020-04-08,177554,22348
AF,2020-04-09,186985,25083
AF,2020-04-10,196393,27123
AF,2020-04-11,203357,28444
AF,2020-04-12,257921,29612
AF,2020-04-13,266069,30806
AF,2020-04-14,276974,32335
AF,2020-04-15,284368,35248
AF,2020-04-16,310516,36809
AF,2020-04-17,315941,38382
AF,2020-04-18,317250,39708
AF,2020-04-19,328309,40561
AF,2020-04-20,334246,41693
AF,2020-04-21,340851,42785
AF,2020-04-22,337877,43924
AF,2020-04-23,343973,45013
AF,2020-04-24,348978,45820
AF,2020-04-25,353593,46609
AF,2020-04-26,356279,47141
AF,2020-04-27,365099,48054
AF,2020-04-28,372906,48849
AF,2020-04-29,369899,49768
AF,2020-04-30,373424,50392
AF,2020-05-01,375186,50886
AF,2020-05-02,379808,51285
AF,2020-05-03,382157,51596
AF,2020-05-04,386131,52250
AF,2020-05-05,390377,52982
AF,2020-05-06,399997,53630
AF,2020-05-07,403875,54053
AF,2020-05-08,410248,54620
AF,2020-05-09,414130,54847
AF,2020-05-10,417481,55056
AF,2020-05-11,421413,55636
AF,2020-05-12,426151,56383
AF,2020-05-13,428759,56647
AF,2020-05-14,433340,57418
AF,2020-05-15,437540,57688
AF,2020-05-16,440868,57772
AF,2020-05-17,443982,58981
AF,2020-05-18,448366,59316
AF,2020-05-19,453279,58957
AF,2020-05-20,458468,59260
AF,2020-05-21,463662,59531
AF,2020-05-22,468583,59768
AF,2020-05-23,473135,59927
AF,2020-05-24,477230,60094
AF,2020-05-25,482026,60399
AF,2020-05-26,485148,60658
AS,2020-01-22,1650,51
AS,2020-01-23,1939,54
AS,2020-01-24,2777,78
AS,2020-01-25,4241,126
AS,2020-01-26,6255,168
AS,2020-01-27,8666,246
AS,2020-01-28,16576,393
AS,2020-01-29,18317,399
AS,2020-01-30,24490,513
AS,2020-01-31,29493,639
AS,2020-02-01,35773,777
AS,2020-02-02,49998,1084
AS,2020-02-03,59259,1276
AS,2020-02-04,71250,1474
AS,2020-02-05,82458,1690
AS,2020-02-06,91910,1900
AS,2020-02-07,102486,2155
AS,2020-02-08,110618,2416
AS,2020-02-09,119673,2716
AS,2020-02-10,127259,3037
AS,2020-02-11,133360,3337
AS,2020-02-12,134484,3352
AS,2020-02-13,179902,4109
AS,2020-02-14,199301,4565
AS,2020-02-15,205488,4991
AS,2020-02-16,211812,5301
AS,2020-02-17,217588,5595
AS,2020-02-18,222932,6012
AS,2020-02-19,224172,6353
AS,2020-02-20,225633,6720
AS,2020-02-21,227181,6723
AS,2020-02-22,231794,7339
AS,2020-02-23,232072,7352
AS,2020-02-24,232998,7808
AS,2020-02-25,234763,8024
AS,2020-02-26,236388,8186
AS,2020-02-27,238347,8283
AS,2020-02-28,240074,8423
AS,2020-02-29,242429,8577
AS,2020-03-01,245181,8696
AS,2020-03-02,246965,8845
AS,2020-03-03,249081,8955
AS,2020-03-04,250565,9087
AS,2020-03-05,252148,9198
AS,2020-03-06,254497,9310
AS,2020-03-07,256404,9418
