date,cases,deaths
2020-01-22,555,17
2020-01-23,654,18
2020-01-24,941,26
2020-01-25,1434,42
2020-01-26,2118,56
2020-01-27,2927,82
2020-01-28,5578,131
2020-01-29,6166,133
2020-01-30,8234,171
2020-01-31,9927,213
2020-02-01,12038,259
2020-02-02,16787,362
2020-02-03,19881,426
2020-02-04,23892,492
2020-02-05,27635,564
2020-02-06,30794,634
2020-02-07,34391,719
2020-02-08,37120,806
2020-02-09,40150,906
2020-02-10,42762,1013
2020-02-11,44802,1113
2020-02-12,45221,1118
2020-02-13,60368,1371
2020-02-14,66885,1523
2020-02-15,69030,1666
2020-02-16,71224,1770
2020-02-17,73258,1868
2020-02-18,75136,2007
2020-02-19,75639,2122
2020-02-20,76197,2247
2020-02-21,76819,2251
2020-02-22,78572,2458
2020-02-23,78958,2469
2020-02-24,79561,2629
2020-02-25,80406,2708
2020-02-26,81388,2770
2020-02-27,82746,2814
2020-02-28,84112,2872
2020-02-29,86011,2941
2020-03-01,88369,2996
2020-03-02,90306,3085
2020-03-03,92840,3160
2020-03-04,95120,3254
2020-03-05,97888,3347
2020-03-06,101806,3459
2020-03-07,105848,3558
2020-03-08,109822,3801
2020-03-09,113595,3987
2020-03-10,118623,4263
2020-03-11,125879,4614
2020-03-12,131007,4912
2020-03-13,145225,5409
2020-03-14,156120,5832
2020-03-15,167507,6473
2020-03-16,181653,7151
2020-03-17,197150,7957
2020-03-18,214873,8824
2020-03-19,242632,9947
2020-03-20,272264,11423
2020-03-21,304580,13125
2020-03-22,337022,14826
2020-03-23,378301,16759
2020-03-24,418295,19017
2020-03-25,467817,21789
2020-03-26,529722,24788
2020-03-27,593764,28292
2020-03-28,661174,31811
2020-03-29,720291,35323
2020-03-30,782816,39443
2020-03-31,857608,44238
2020-04-01,933010,49685
2020-04-02,1013863,55834
2020-04-03,1096324,61826
2020-04-04,1176436,67996
2020-04-05,1249743,73077
2020-04-06,1321436,78767
2020-04-07,1396438,86662
2020-04-08,1480232,93354
2020-04-09,1566102,100915
2020-04-10,1658261,108137
2020-04-11,1736412,114170
2020-04-12,1835145,119853
2020-04-13,1905165,125561
2020-04-14,1975566,132439
2020-04-15,2055748,140685
2020-04-16,2152181,147963
2020-04-17,2239990,156821
2020-04-18,2317636,163236
2020-04-19,2400787,167772
2020-04-20,2472109,173124
2020-04-21,2549046,180236
2020-04-22,2624608,186912
2020-04-23,2708403,193665
2020-04-24,2795731,199997
2020-04-25,2881140,206187
2020-04-26,2955033,209900
2020-04-27,3023722,214444
2020-04-28,3097229,220801
2020-04-29,3172287,227665
2020-04-30,3256910,233360
2020-05-01,3345558,238619
2020-05-02,3427584,243813
2020-05-03,3506729,247470
2020-05-04,3583055,251537
2020-05-05,3662691,257239
2020-05-06,3756069,263855
2020-05-07,3845718,269567
2020-05-08,3938064,274898
2020-05-09,4024009,279311
2020-05-10,4101699,282709
2020-05-11,4177502,286330
2020-05-12,4261747,291942
2020-05-13,4347018,297197
2020-05-14,4442163,302418
2020-05-15,4542347,307666
2020-05-16,4634068,311781
2020-05-17,4713620,315185
2020-05-18,4801943,318481
2020-05-19,4897492,323285
2020-05-20,4996472,328115
2020-05-21,5102424,332924
2020-05-22,5211156,338233
2020-05-23,5311020,342213
2020-05-24,5407613,345058
2020-05-25,5495061,346231
2020-05-26,5589626,350452
2020-05-27,5691790,355628
2020-05-28,5808946,360308
2020-05-29,5930781,364998
2020-05-30,6059017,369126
2020-05-31,6166946,372035
2020-06-01,6266192,375559
